CODUSU,COMPONENTE,Edad,Genero,adulto_equiv,ad_equiv_hogar
TQRMNOSTTHMMTPCDEIJAH00802000,3,58,1,1.0,2.37
TQRMNOQUTHJOPQCDEIJAH00802001,1,78,1,0.74,0.74
TQSMNOQWPHKOTMCDEIJAH00780228,3,30,2,0.77,1.46
TQRMNORRQHLNNPCDEIJAH00718846,1,31,2,0.77,3.37
TQRMNORRQHLNNPCDEIJAH00718846,2,37,1,1.0,3.37
TQRMNORRQHLNNPCDEIJAH00718846,3,14,1,0.96,3.37
TQRMNORRQHLNNPCDEIJAH00718846,4,6,1,0.64,3.37
TQRMNOPTSHKMNQCDEIJAH00780805,2,58,2,0.76,0.76
TQRMNOQQWHLMNQCDEIJAH00718849,2,32,2,0.77,2.75
TQRMNOQQWHLMNQCDEIJAH00718849,3,10,2,0.7,2.75
TQRMNOQQWHLMNQCDEIJAH00718849,4,6,1,0.64,2.75
TQRMNOQQWHLMNQCDEIJAH00718849,5,6,1,0.64,2.75
TQRMNORVQHLMNQCDEIJAH00718877,1,48,2,0.76,1.76
TQRMNORVQHLMNQCDEIJAH00718877,2,51,1,1.0,1.76
TQRMNOPPYHJMTRCDEIJAH00793353,1,76,2,0.63,1.37
TQRMNOPPYHJMTRCDEIJAH00793353,2,79,1,0.74,1.37
TQRMNOPQQHJMTRCDEIJAH00801962,1,30,1,1.0,2.86
TQRMNOPQQHJMTRCDEIJAH00801962,2,29,2,0.76,2.86
TQRMNOPQQHJMTRCDEIJAH00801962,3,6,1,0.64,2.86
TQRMNOPQQHJMTRCDEIJAH00801962,4,2,1,0.46,2.86
TQRMNOPWPHKLPLCDEIJAH00780259,1,66,2,0.67,1.5
TQRMNOPWPHKLPLCDEIJAH00780259,2,63,1,0.83,1.5
TQRMNOPTUHKOPNCDEIJAH00801995,1,24,2,0.76,0.76
TQSMNOQWPHKOTMCDEIJAH00780228,4,9,1,0.69,1.46
TQRMNORTVHKOMLCDEIJAH00801924,1,46,2,0.76,1.52
TQRMNORTVHKOMLCDEIJAH00801924,2,14,2,0.76,1.52
TQRMNOSTYHJOPOCDEIJAH00793358,1,28,1,1.02,1.02
TQRMNOPYSHJOQOCDEIJAH00793241,3,18,2,0.76,3.6
TQRMNOPYSHJOQOCDEIJAH00793241,4,10,2,0.7,3.6
TQRMNOPYSHJOQOCDEIJAH00793241,5,8,1,0.68,3.6
TQRMNOPYSHJOQOCDEIJAH00793241,6,2,2,0.46,3.6
TQRMNOPYSHJOQOCDEIJAH00793241,7,32,1,1.0,3.6
TQRMNOQWUHMOMNCDEIJAH00801927,2,18,1,1.02,2.43
TQRMNOQWUHMOMNCDEIJAH00801927,3,15,2,0.77,2.43
TQRMNOQWUHMOMNCDEIJAH00801927,4,6,1,0.64,2.43
TQRMNOPQTHMLMOCDEIJAH00801929,1,46,2,0.76,2.2
TQRMNOPQTHMLMOCDEIJAH00801929,2,21,2,0.76,2.2
TQRMNOPQTHMLMOCDEIJAH00801929,3,8,1,0.68,2.2
TQRMNOSPSHJLNMCDEIJAH00794819,1,72,1,0.83,1.46
TQRMNOSPSHJLNMCDEIJAH00794819,2,76,2,0.63,1.46
TQRMNOPYRHJKKQCDEIJAH00797816,1,76,1,0.74,1.74
TQRMNOPYRHJKKQCDEIJAH00797816,2,39,1,1.0,1.74
TQRMNOSRXHKMKRCDEIJAH00786609,1,25,1,1.02,2.91
TQRMNOSRXHKMKRCDEIJAH00786609,2,19,2,0.76,2.91
TQRMNOSRXHKMKRCDEIJAH00786609,3,1,1,0.37,2.91
TQRMNOSRXHKMKRCDEIJAH00786609,4,23,2,0.76,2.91
TQRMNOQWXHMLLLCDEIJAH00801949,1,33,2,0.77,2.46
TQRMNOQWXHMLLLCDEIJAH00801949,2,36,2,0.77,2.46
TQRMNOQWXHMLLLCDEIJAH00801949,3,4,2,0.55,2.46
TQRMNOQTUHKOTPCDEIJAH00780561,2,70,1,0.83,0.83
TQRMNORXVHKOMSCDEIJAH00780469,1,64,1,0.83,2.52
TQRMNORXVHKOMSCDEIJAH00780469,2,61,2,0.67,2.52
TQRMNORXVHKOMSCDEIJAH00780469,5,24,1,1.02,2.52
TQRMNOQPSHKOMTCDEIJAH00780751,1,43,1,1.0,5.59
TQRMNOQPSHKOMTCDEIJAH00780751,2,42,2,0.77,5.59
TQRMNOQPSHKOMTCDEIJAH00780751,3,23,1,1.02,5.59
TQRMNOQPSHKOMTCDEIJAH00780751,4,15,2,0.77,5.59
TQRMNOQPSHKOMTCDEIJAH00780751,5,15,2,0.77,5.59
TQRMNOQPSHKOMTCDEIJAH00780751,6,7,1,0.66,5.59
TQRMNOQPSHKOMTCDEIJAH00780751,7,5,1,0.6,5.59
TQRMNOPUWHJNMMCDEIJAH00801942,1,38,1,1.0,3.13
TQRMNOPUWHJNMMCDEIJAH00801942,2,45,2,0.77,3.13
TQRMNOPUWHJNMMCDEIJAH00801942,3,10,2,0.7,3.13
TQRMNOPUWHJNMMCDEIJAH00801942,4,7,2,0.66,3.13
TQRMNOQWXHMLLLCDEIJAH00801949,4,1,2,0.37,2.46
TQRMNOSUUHJLKTCDEIJAH00801950,1,40,2,0.77,0.77
TQRMNOQRXHJOLLCDEIJAH00801951,1,45,1,1.0,1.69
TQRMNOQRXHJOLLCDEIJAH00801951,2,9,2,0.69,1.69
TQSMNORVXHKOKTCDEIJAH00780222,1,67,1,0.83,1.66
TQSMNORVXHKOKTCDEIJAH00780222,2,73,1,0.83,1.66
TQRMNOTVWHLMNSCDEIJAH00718879,1,40,2,0.77,3.26
TQRMNOTVWHLMNSCDEIJAH00718879,2,43,1,1.0,3.26
TQRMNOTVWHLMNSCDEIJAH00718879,3,11,2,0.72,3.26
TQRMNOTVWHLMNSCDEIJAH00718879,4,16,2,0.77,3.26
TQRMNOPVQHJMOLCDEIJAH00797594,1,41,1,1.0,4.21
TQRMNOPVQHJMOLCDEIJAH00797594,2,41,2,0.77,4.21
TQRMNOPVQHJMOLCDEIJAH00797594,3,18,1,1.02,4.21
TQRMNOSVQHJLKSCDEIJAH00798014,1,55,2,0.76,0.76
TQRMNOSWTHJLKSCDEIJAH00801988,1,49,2,0.76,1.52
TQRMNOSWTHJLKSCDEIJAH00801988,2,14,2,0.76,1.52
TQRMNOPVQHJMOLCDEIJAH00797594,4,20,2,0.76,4.21
TQRMNOPVQHJMOLCDEIJAH00797594,5,7,2,0.66,4.21
TQSMNORTQHLMNUCDEIJAH00718881,1,28,2,0.76,2.99
